I#ID	Name
G1026	F2
G1027	CKAP5
G1028	LRP4
G1029	DDB2
G1030	ACP2
G1031	NR1H3
G1032	MADD
G1033	MYBPC3
G1034	SLC39A13
G1035	RAPSN
G1036	NDUFS3
G1037	FNBP4
G1038	PTPRJ
G1039	FOLH1
G1040	OR4C12
G1041	OR5L1
G1042	OR8K3
G1043	SERPING1
G1044	CLP1
G1045	TMX2
G1046	CTNND1
G1047	OR9I1
G1048	OR1S2
G1049	CNTF
G1050	FAM111B
G1051	FAM111A
G1052	OR4D11
G1053	STX3
G1054	CBLIF
G1055	MS4A2
G1056	MS4A6A
G1057	MS4A1
G1058	PTGDR2
G1059	ZP1
G1060	DDB1
G1061	TMEM138
G1062	TMEM216
G1063	CPSF7
G1064	SDHAF2
G1065	MYRF
G1066	BEST1
G1067	FTH1
G1068	SCGB1A1
G1069	AHNAK
G1070	ROM1
G1071	B3GAT3
G1072	GANAB
G1073	UQCC3
G1074	LRRN4CL
G1075	BSCL2
G1076	STX5
G1077	ATL3
G1078	MARK2
G1079	COX8A
G1080	FERMT3
G1081	VEGFB
G1082	SLC22A12
G1083	NRXN2
G1084	RASGRP2
G1085	PYGM
G1086	SF1
G1087	MAP4K2
G1088	MEN1
G1089	PPP2R5B
G1090	SNX15
G1091	SYVN1
G1092	CAPN1
G1093	SCYL1
G1094	LTBP3
G1095	RELA
G1096	KAT5
G1097	RNASEH2C
G1098	MUS81
G1099	EFEMP2
G1100	FIBP
G1101	BANF1
G1102	CATSPER1
G1103	PACS1
G1104	KLC2
G1105	B4GAT1
G1106	PELI3
G1107	DPP3
G1108	BBS1
G1109	ACTN3
G1110	CTSF
G1111	CCS
G1112	RBM14
G1113	SPTBN2
G1114	PC
G1115	ANKRD13D
G1116	CLCF1
G1117	CABP4
G1118	AIP
G1119	CABP2
G1120	GSTP1
G1121	NDUFV1
G1122	ALDH3B2
G1123	UNC93B1
G1124	ALDH3B1
G1125	NDUFS8
G1126	TCIRG1
G1127	KMT5B
G1128	LRP5
G1129	GAL
G1130	CPT1A
G1131	IGHMBP2
G1132	TPCN2
G1133	CCND1
G1134	FGF3
G1135	FADD
G1136	CTTN
G1137	SHANK2
G1138	DHCR7
G1139	IL18BP
G1140	LRTOMT
G1141	FOLR3
G1142	FOLR1
G1143	INPPL1
G1144	PHOX2A
G1145	CLPB
G1146	RAB6A
G1147	DNAJB13
G1148	UCP2
G1149	UCP3
G1150	C2CD3
G1151	KCNE3
G1152	LIPT2
G1153	SLCO2B1
G1154	ARRB1
G1155	SERPINH1
G1156	MAP6
G1157	DGAT2
G1158	UVRAG
G1159	WNT11
G1160	B3GNT6
G1161	CAPN5
G1162	MYO7A
G1163	PAK1
G1164	ALG8
G1165	GAB2
G1166	NARS2
G1167	TENM4
G1168	PCF11
G1169	DLG2
G1170	TMEM126B
G1171	TMEM126A
G1172	SYTL2
G1173	PICALM
G1174	EED
G1175	HIKESHI
G1176	FZD4
G1177	CTSC
G1178	GRM5
G1179	TYR
G1180	FAT3
G1181	MTNR1B
G1182	MED17
G1183	PANX1
G1184	MRE11
G1185	KDM4E
G1186	CEP57
G1187	MTMR2
G1188	CNTN5
G1189	PGR
G1190	TRPC6
G1191	YAP1
G1192	BIRC3
G1193	MMP20
G1194	MMP8
G1195	MMP1
G1196	MMP3
G1197	MMP12
G1198	MMP13
G1199	DYNC2H1
G1200	CASP12
G1201	CASP1
G1202	ACAT1
G1203	ATM
G1204	C11orf65
G1205	EXPH5
G1206	DDX10
G1207	RDX
G1208	ARHGAP20
G1209	COLCA1
G1210	PPP2R1B
G1211	ALG9
G1212	FDXACB1
G1213	CRYAB
G1214	HSPB2
G1215	DIXDC1
G1216	DLAT
G1217	TIMM8B
G1218	SDHD
G1219	IL18
G1220	PTS
G1221	NCAM1
G1222	ANKK1
G1223	DRD2
G1224	USP28
G1225	HTR3B
G1226	HTR3A
G1227	ZBTB16
G1228	APOA5
G1229	APOA4
G1230	APOC3
G1231	APOA1
G1232	BACE1
G1233	CEP164
G1234	DSCAML1
G1235	FXYD2
G1236	FXYD6
G1237	TMPRSS13
G1238	IL10RA
G1239	TMPRSS4
G1240	SCN4B
G1241	SCN2B
G1242	CD3E
G1243	CD3D
G1244	CD3G
G1245	UBE4A
G1246	KMT2A
G1247	ARCN1
G1248	TREH
G1249	SLC37A4
G1250	VPS11
G1251	HMBS
G1252	DPAGT1
G1253	ABCG4
G1254	NLRX1
G1255	CBL
G1256	RNF26
G1257	C1QTNF5
G1258	MFRP
G1259	USP2
G1260	NECTIN1
G1261	POU2F3
G1262	ARHGEF12
G1263	GRIK4
G1264	TECTA
G1265	SC5D
G1266	SORL1
G1267	HSPA8
G1268	CLMP
G1269	SCN3B
G1270	SIAE
G1271	ROBO3
G1272	HEPACAM
G1273	CCDC15
G1274	EI24
G1275	STT3A
G1276	CHEK1
G1277	ACRV1
G1278	HYLS1
G1279	PUS3
G1280	CDON
G1281	FAM118B
G1282	FOXRED1
G1283	TIRAP
G1284	DCPS
G1285	ST3GAL4
G1286	KIRREL3
G1287	ETS1
G1288	FLI1
G1289	KCNJ1
G1290	KCNJ5
G1291	TP53AIP1
G1292	APLP2
G1293	ST14
G1294	ADAMTS8
G1295	SNX19
G1296	OPCML
G1297	JAM3
G1298	ACAD8
G1299	KDM5A
G1300	WNK1
G1301	RAD52
G1302	CACNA2D4
G1303	CACNA1C
G1304	FOXM1
G1305	TEAD4
G1306	CCND2
G1307	FGF23
G1308	C12orf4
G1309	NDUFA9
G1310	KCNA1
G1311	KCNA5
G1312	NTF3
G1313	VWF
G1314	CD9
G1315	TNFRSF1A
G1316	SCNN1A
G1317	LTBR
G1318	CD27
G1319	VAMP1
G1320	GAPDH
G1321	CHD4
G1322	ING4
G1323	PIANP
G1324	COPS7A
G1325	CD4
G1326	P3H3
G1327	GNB3
G1328	TPI1
G1329	SPSB2
G1330	ATN1
G1331	C12orf57
G1332	EMG1
G1333	C1S
G1334	C1R
G1335	PEX5
G1336	CD163
G1337	GDF3
G1338	C3AR1
G1339	NECAP1
G1340	AICDA
G1341	MFAP5
G1342	A2ML1
G1343	PHC1
G1344	A2M
G1345	PZP
G1346	CLEC12A
G1347	CLEC7A
G1348	OLR1
G1349	KLRK1
G1350	KLRC3
G1351	TAS2R20
G1352	PRB3
G1353	ETV6
G1354	BCL2L14
G1355	LRP6
G1356	DUSP16
G1357	CDKN1B
G1358	GRIN2B
G1359	GUCY2C
G1360	ART4
G1361	MGP
G1362	PDE6H
G1363	PTPRO
G1364	EPS8
G1365	LMO3
G1366	RERGL
G1367	PIK3C2G
G1368	PLCZ1
G1369	PDE3A
G1370	SLCO1B3
G1371	SLCO1B1
G1372	PYROXD1
G1373	GYS2
G1374	LDHB
G1375	KCNJ8
G1376	ABCC9
G1377	ETNK1
G1378	SOX5
G1379	BCAT1
G1380	KRAS
G1381	RASSF8
G1382	BHLHE41
G1383	SSPN
G1384	ITPR2
G1385	PTHLH
G1386	CAPRIN2
G1387	DDX11
G1388	FGD4
G1389	DNM1L
G1390	YARS2
G1391	PKP2
G1392	ALG10
G1393	KIF21A
G1394	LRRK2
G1395	CNTN1
G1396	PRICKLE1
G1397	ADAMTS20
G1398	IRAK4
G1399	ANO6
G1400	ARID2
G1401	VDR
G1402	COL2A1
G1403	PFKM
G1404	ADCY6
G1405	CACNB3
G1406	CCDC65
G1407	WNT10B
G1408	WNT1
G1409	KMT2D
G1410	DHH
G1411	TUBA1A
G1412	PRPH
G1413	PRPF40B
G1414	BCDIN3D
G1415	AQP2
G1416	AQP5
G1417	GPD1
G1418	COX14
G1419	LIMA1
G1420	DIP2B
G1421	ATF1
G1422	SLC11A2
G1423	LETMD1
G1424	TFCP2
G1425	SLC4A8
G1426	SCN8A
G1427	ACVRL1
G1428	ACVR1B
G1429	TAMALIN
G1430	KRT80
G1431	KRT7
G1432	KRT86
G1433	KRT81
G1434	KRT83
G1435	KRT85
G1436	KRT84
G1437	KRT82
G1438	KRT75
G1439	KRT6B
G1440	KRT6C
G1441	KRT6A
G1442	KRT5
G1443	KRT71
G1444	KRT74
G1445	KRT72
G1446	KRT73
G1447	KRT2
G1448	KRT1
G1449	KRT77
G1450	KRT76
G1451	KRT3
G1452	KRT4
G1453	KRT79
G1454	KRT78
G1455	KRT8
G1456	KRT18
G1457	CSAD
G1458	RARG
G1459	PFDN5
G1460	AAAS
G1461	SP7
G1462	SP1
G1463	AMHR2
G1464	HOXC13
G1465	HOXC6
G1466	HOXC8
G1467	HOXC4
G1468	HOXC5
G1469	MIR615
G1470	SMUG1
G1471	HNRNPA1
G1472	PDE1B
G1473	OR6C68
G1474	ITGA7
G1475	RDH5
G1476	CD63
G1477	MMP19
G1478	PMEL
G1479	CDK2
G1480	SUOX
G1481	RPS26
G1482	ERBB3
G1483	MYL6
G1484	SMARCC2
G1485	SLC39A5
G1486	STAT2
G1487	MIP
G1488	NACA
G1489	TAC3
G1490	MYO1A
G1491	STAT6
G1492	LRP1
G1493	SHMT2
G1494	STAC3
G1495	GLI1
G1496	ARHGAP9
G1497	MARS1
G1498	DDIT3
G1499	DCTN2
G1500	KIF5A
G1501	ARHGEF25
G1502	B4GALNT1
G1503	OS9
G1504	AGAP2
G1505	CDK4
G1506	CYP27B1
G1507	METTL1
G1508	TSFM
G1509	DPY19L2
G1510	RXYLT1
G1511	SRGAP1
G1512	TBK1
G1513	GNS
G1514	LINC02389
G1515	LEMD3
G1516	MSRB3
G1517	HMGA2
G1518	IRAK3
G1519	GRIP1
G1520	CAND1
G1521	IFNG
G1522	IL22
G1523	NUP107
G1524	MDM2
G1525	LYZ
G1526	YEATS4
G1527	PTPRB
G1528	TSPAN8
G1529	TPH2
G1530	TRHDE
G1531	BBS10
G1532	OTOGL
G1533	PTPRQ
G1534	MYF6
G1535	LIN7A
G1536	METTL25
G1537	ALX1
G1538	NTS
G1539	CEP290
G1540	TMTC3
G1541	KITLG
G1542	DUSP6
